2023-09-24 21:19:49,723.SmartSmoker_Producer.INFO ==================================================
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Today is 2023-09-24 at 09:19 PM
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Running on: nt Windows 10
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Python version:  3.10.9
2023-09-24 21:38:01,111.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
2023-09-24 21:38:31,135.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:38,114.2]'....
2023-09-24 21:38:31,144.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-09-24 21:38:31,149.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-09-24 21:39:01,176.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:38,114.2]'....
2023-09-24 21:39:01,209.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-09-24 21:39:01,235.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:38,No data received from row]'....
2023-09-24 21:39:31,265.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:39,115.5]'....
2023-09-24 21:39:31,297.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-09-24 21:39:31,317.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-09-24 21:40:01,356.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:39,115.5]'....
2023-09-24 21:40:01,387.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-09-24 21:40:01,400.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-09-24 21:40:31,413.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:40,112.6]'....
2023-09-24 21:40:31,439.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-09-24 21:40:31,460.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-09-24 21:41:01,481.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:40,112.6]'....
2023-09-24 21:41:01,490.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-09-24 21:41:01,496.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-09-24 21:41:31,521.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:41,118.8]'....
2023-09-24 21:41:31,554.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-09-24 21:41:31,576.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-09-24 21:42:01,607.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:41,118.8]'....
2023-09-24 21:42:01,640.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-09-24 21:42:01,650.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-09-24 21:42:31,679.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:42,113.2]'....
2023-09-24 21:42:31,708.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-09-24 21:42:31,733.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-09-24 21:43:01,756.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:42,113.2]'....
2023-09-24 21:43:01,787.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-09-24 21:43:01,810.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-09-24 21:43:31,831.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:43,126.7]'....
2023-09-24 21:43:31,839.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-09-24 21:43:31,847.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-09-24 21:44:01,860.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:43,126.7]'....
2023-09-24 21:44:01,893.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-09-24 21:44:01,919.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-09-24 21:44:31,937.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:44,130.0]'....
2023-09-24 21:44:31,970.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-09-24 21:44:31,983.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-09-24 21:45:02,008.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:44,130.0]'....
2023-09-24 21:45:02,042.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-09-24 21:45:02,063.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-09-24 21:45:32,084.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:45,130.0]'....
2023-09-24 21:45:32,116.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-09-24 21:45:32,126.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-09-24 21:46:02,148.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:45,130.0]'....
2023-09-24 21:46:02,157.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-09-24 21:46:02,170.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-09-24 21:46:32,187.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:46,137.3]'....
2023-09-24 21:46:32,219.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-09-24 21:46:32,231.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-09-24 21:47:02,263.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:46,137.3]'....
2023-09-24 21:47:02,283.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-09-24 21:47:02,311.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-09-24 21:47:32,340.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:47,139.5]'....
2023-09-24 21:47:32,371.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-09-24 21:47:32,391.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-09-24 21:48:02,431.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:47,139.5]'....
2023-09-24 21:48:02,440.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-09-24 21:48:02,452.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-09-24 21:48:32,465.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:48,141.8]'....
2023-09-24 21:48:32,469.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-09-24 21:48:32,506.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-09-24 21:49:02,523.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:48,141.8]'....
2023-09-24 21:49:02,563.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-09-24 21:49:02,588.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-09-24 21:49:32,606.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:49,143.6]'....
2023-09-24 21:49:32,638.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-09-24 21:49:32,644.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-09-24 21:50:02,683.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:49,143.6]'....
2023-09-24 21:50:02,740.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-09-24 21:50:02,757.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-09-24 21:50:32,765.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:50,145.0]'....
2023-09-24 21:50:32,797.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-09-24 21:50:32,820.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-09-24 21:51:02,847.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:50,145.0]'....
2023-09-24 21:51:02,879.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-09-24 21:51:02,900.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-09-24 21:51:32,923.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:51,146.2]'....
2023-09-24 21:51:32,941.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-09-24 21:51:32,955.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-09-24 21:52:02,976.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:51,146.2]'....
2023-09-24 21:52:02,976.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-09-24 21:52:02,997.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-09-24 21:52:33,013.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:52,147.5]'....
2023-09-24 21:52:33,029.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-09-24 21:52:33,040.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-09-24 21:53:03,056.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:52,147.5]'....
2023-09-24 21:53:03,089.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-09-24 21:53:03,107.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-09-24 21:53:33,125.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:53,148.7]'....
2023-09-24 21:53:33,136.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
2023-09-24 21:53:33,145.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
2023-09-24 21:54:03,158.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:53,148.7]'....
2023-09-24 21:54:03,169.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
2023-09-24 21:54:03,201.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
2023-09-24 21:54:33,217.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:54,149.9]'....
2023-09-24 21:54:33,249.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-09-24 21:54:33,271.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-09-24 21:55:03,289.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:54,149.9]'....
2023-09-24 21:55:03,307.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-09-24 21:55:03,329.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-09-24 21:55:33,363.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:55,151.1]'....
2023-09-24 21:55:33,395.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-09-24 21:55:33,409.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-09-24 21:56:03,437.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:55,151.2]'....
2023-09-24 21:56:03,455.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
